Web_ID,Region_of_Incident,Reported_Date,Reported_Year,Reported_Month,Number_Dead,Minimum_Estimated_Number_of_Missing,Total_Dead_and_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death,Location_Description,Information_Source,Migration_Route,URL,UNSD_Geographical_Grouping,Source_Quality,lat,long
43929,US-Mexico Border,1-Mar-17,2017,Mar,1,0,1,0,0,0,0,Unknown (skeletal remains),"García Ranch, Brooks County, Texas, USA",South Texas Human Rights Center,Central America to US, ,Northern America,4,27.0273057,-98.2212979
30845,US-Mexico Border,28-Feb-17,2017,Feb,1,0,1,0,0,1,0,Drowning,"Río Bravo, near KM 10 National Highway, Nuevo Laredo, Tamaulipas, Mexico",Lider Web,Central America to US,http://bit.ly/2ms8OSW,Central America,1,27.4565378,-99.5698487
30846,US-Mexico Border,28-Feb-17,2017,Feb,1,0,1,0,0,1,0,Unknown (skeletal remains),Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,Central America to US, ,Northern America,5,31.8753434,-112.5470466
44566,North Africa,28-Feb-17,2017,Feb,2,0,2,0,0,0,0,Sickness and lack of access to medicines,"Subratah, Libya",MHub, , ,Northern Africa,2,32.79726436,12.4042035
44567,North Africa,28-Feb-17,2017,Feb,1,0,1,0,0,0,0,Violence,"Unspecified location, Libya",MHub, , ,Northern Africa,2,30.1902301,15.32220307
44568,North Africa,28-Feb-17,2017,Feb,5,0,5,0,0,0,0,Dehydration,"Sahara Desert, between Agadez, Niger and Sabha, Libya",MHub, , ,Northern Africa,2,25.11000484,12.71695218
30843,Europe,27-Feb-17,2017,Feb,1,0,1,0,0,1,0,Electrocution,"Near train station at Balerna, Switzerland",La Provincia, ,"http://bit.ly/2lNys3c, http://bit.ly/2lCGOYN, http://bit.ly/2tio6cT",Western Europe,3,45.8430697,9.0001803
30844,Middle East,27-Feb-17,2017,Feb,1,0,1,0,0,1,0,Shot,Unspecified location at the Syrian/Turkish border,Syrian Observatory for Human Rights, ,http://www.syriahr.com/en/?p=61753,Western Asia,4,36.0678687,36.3137406
43946,US-Mexico Border,27-Feb-17,2017,Feb,1,0,1,0,0,0,0,Unknown (skeletal remains),"La India Ranch, Brooks County, Texas, USA",South Texas Human Rights Center,Central America to US, ,Northern America,4,27.11458647,-98.22519557
30840,Mediterranean,26-Feb-17,2017,Feb,1,0,1,0,0,1,0,Drowning,"Az-Zawiyah, Libya",Informador,Central Mediterranean,http://bit.ly/2mzmZTb,Uncategorized,1,32.7759101,12.6973164
30841,Mediterranean,26-Feb-17,2017,Feb,1,0,1,0,0,0,0,Drowning,"Body recovered near Cadiz, Spain",Informador,Western Mediterranean,http://bit.ly/2mzmZTb,Uncategorized,1,36.4865849,-6.3033107
30842,North Africa,26-Feb-17,2017,Feb,12,0,12,0,0,0,0,Starvation,"Near Bani Walid, Libya",Agencia Nova, ,http://bit.ly/2m1E7D5,Uncategorized,1,31.7602016,13.9776971
30839,US-Mexico Border,25-Feb-17,2017,Feb,1,0,1,0,0,1,0,Unknown (skeletal remains),Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,Central America to US, ,Northern America,5,31.8753434,-112.5470466
30837,Central America,24-Feb-17,2017,Feb,1,0,1,0,0,1,0,Vehicle Accident,"Highway, Huixtla, Chiapas, Mexico",El Orbe,Central America to US,http://bit.ly/2mlzRzj,Central America,1,15.12214,-92.7137316
30838,US-Mexico Border,24-Feb-17,2017,Feb,1,0,1,0,0,1,0,Fall from vehicle,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,Central America to US, ,Northern America,5,31.8753434,-112.5470466
30832,North Africa,23-Feb-17,2017,Feb,7,0,7,0,0,0,0,"Starvation, Suffocation, Shot, Stabbed, Excessive Physical Abuse","Tripoli, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi), , ,Northern Africa,2,32.8629706,13.1215797
30833,Mediterranean,23-Feb-17,2017,Feb,14,0,14,400,0,0,0,Drowning,"Off the coast of Zuwara, Libya",IOM Libya,Central Mediterranean, ,Uncategorized,4,33.010693,12.0476696
30834,US-Mexico Border,23-Feb-17,2017,Feb,1,0,1,0,0,1,0,Drowning,"Río Bravo, Puente Internacional 1, near Morelos Colonia, Piedras Negras, Cohauila, Mexico",Super Channel 12,Central America to US,http://bit.ly/2lRcWvh,Central America,1,28.6910517,-100.5801829
30835,US-Mexico Border,23-Feb-17,2017,Feb,2,0,2,1,0,0,0,Vehicle Accident,"Highway 10, between Demming and Lordburg, New Mexico","Zocalo, KVIA",Central America to US,"http://bit.ly/2lchvMh, https://bit.ly/2Ky2ySl",Northern America,3,32.1890936,-108.3751176
30836,Mediterranean,23-Feb-17,2017,Feb,1,0,1,0,0,1,0,Drowning,"Port of Ceuta, Spain ",EFE,Western Mediterranean,http://bit.ly/2muWe27,Uncategorized,1,35.89378411,-5.310254018
30827,US-Mexico Border,22-Feb-17,2017,Feb,1,0,1,0,0,1,0,Unknown (skeletal remains),Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,Central America to US, ,Northern America,5,31.8753434,-112.5470466
30828,Central America,22-Feb-17,2017,Feb,1,0,1,0,0,1,0,Train Accident,"Highway Celaya-Villagrán KM 306, Old Station, Cortazar, Guanajuato, Mexico",Periodico Correo,Central America to US,http://bit.ly/2mogv8z,Central America,1,20.4785052,-100.97811
30830,Europe,22-Feb-17,2017,Feb,3,0,3,5,0,0,0,Drowning,"Maritsa River, near ?psala, Turkey and Greece border",Expansion, ,"http://bit.ly/2mnTMJR, http://bit.ly/2lNSjA4",Western Europe,3,40.9443915,26.2851702
30831,North Africa,22-Feb-17,2017,Feb,13,0,13,0,0,0,2,Suffocation,"Bodies recovered from shipping container near Al Khums, Libya",IOM Libya, ,http://bit.ly/2lcYnOZ,Northern Africa,4,32.677012,14.2451942
30826,Caribbean,21-Feb-17,2017,Feb,4,8,12,3,7,1,1,Drowning,"Near Costa Esmeralda Beach in Miches, El Seibo province, Dominican Republic",Dominican Today,Dominican Republic to Puerto Rico,"http://bit.ly/2lEZBpi, http://bit.ly/2mbPHco, http://bit.ly/2mbAewc, http://bit.ly/2mgsje5",Caribbean,3,18.7658496,-69.040668
30822,Horn of Africa,20-Feb-17,2017,Feb,1,0,1,0,0,0,0,Excessive Physical Abuse,"Near Burao, Somalia",Mixed Migration Monitoring Mechanism Initiative (4Mi), , ,Eastern Africa,2,9.5206381,45.5288885
30823,Mediterranean,20-Feb-17,2017,Feb,74,0,74,0,0,74,0,Drowning,"Bodies recovered near Az Zawiyah, Libya","IOM Libya, Libyan Red Crescent",Central Mediterranean,"http://bit.ly/2lBQLbD, http://apne.ws/2m3vCs0, http://cnn.it/2lnDl2s, http://bit.ly/2mfjOzK, http://bit.ly/2mJ9seq",Uncategorized,4,32.7812306,12.6964611
30824,US-Mexico Border,20-Feb-17,2017,Feb,1,0,1,0,0,1,0,Unknown (skeletal remains),Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,Central America to US, ,Northern America,5,31.8753434,-112.5470466
30825,US-Mexico Border,20-Feb-17,2017,Feb,1,0,1,0,0,1,0,Unknown (skeletal remains),Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,Central America to US, ,Northern America,5,31.8753434,-112.5470466
44442,South Asia,20-Feb-17,2017,Feb,1,0,1,0,0,1,0,Vehicle Accident,"Asfhan province, Iran",IOM Afghanistan, , ,Southern Asia,4,33.2771073,52.3613378
